model,label,L,dim,norm_H_F,ground_state,global_t1_max_half,global_t1_med_half,global_t2_max_half,sector_t1_max_half,sector_t1_med_half,sector_t2_max_half,ratio_t1_max,ratio_t1_med,ratio_t2_max,eigh_global_time,sector_time,speedup_global_over_sector
heisenberg_1d_obc,1D Heisenberg OBC,4,16,3.0,-1.6160254037844388,3.1530333899354446e-14,3.1211144779774713e-14,,9.325873406851315e-15,4.107825191113079e-15,,3.380952380952381,7.597972972972973,,0.0005114078521728516,0.0005555152893066406,1.25793991416309
heisenberg_1d_obc,1D Heisenberg OBC,6,64,7.745966692414834,-2.4935771338879253,3.161915174132446e-13,3.142763826957662e-13,,6.306066779870889e-14,3.630429290524262e-14,,5.014084507042254,8.656727828746178,,0.0008919239044189453,0.0009486675262451172,1.2297059562704198
heisenberg_1d_obc,1D Heisenberg OBC,8,256,18.33030277982336,-3.37493259868789,2.956523914576792e-12,2.95247160053691e-12,,4.556355293061642e-13,3.0542235407438056e-13,,6.488791423001949,9.666848418756816,,0.010394096374511719,0.002817392349243164,4.921215198442921
heisenberg_1d_obc,1D Heisenberg OBC,10,1024,41.569219381653056,-4.258035207282882,2.6750379689133297e-11,2.6744495507102783e-11,,3.4443559115970857e-12,2.5183188867572426e-12,,7.766438886023724,10.619979720495525,,0.17481088638305664,0.03634214401245117,6.606993374007741
heisenberg_1d_obc,1D Heisenberg OBC,12,4096,91.91300234460846,-5.14209063284053,2.364797246912076e-10,2.364619611228136e-10,,2.6445290401966304e-11,2.0424717472877774e-11,,8.94222453589031,11.577245141178294,,55.545499324798584,0.45455169677734375,133.52880157018413
heisenberg_1d_pbc,1D Heisenberg PBC,4,16,3.4641016151377544,-1.9999999999999996,3.730349362740526e-14,3.630429290524262e-14,,1.1657341758564144e-14,4.6629367034256575e-15,,3.2,7.785714285714286,,0.00014138221740722656,0.00046443939208984375,0.5918891170431212
heisenberg_1d_pbc,1D Heisenberg PBC,6,64,8.48528137423857,-2.802775637731993,3.455014052633487e-13,3.4428015993626104e-13,,6.927791673660977e-14,3.952393967665557e-14,,4.987179487179487,8.710674157303371,,0.00045871734619140625,0.0008389949798583984,0.7337311736288719
heisenberg_1d_pbc,1D Heisenberg PBC,8,256,19.595917942265423,-3.651093408937173,3.1601388172930456e-12,3.1567665148557467e-12,,4.884981308350689e-13,3.2568392427378967e-13,,6.469090909090909,9.692730526674621,,0.0073316097259521484,0.0026519298553466797,3.3850579879528904
heisenberg_1d_pbc,1D Heisenberg PBC,10,1024,43.81780460041329,-4.515446354492043,2.819855460245435e-11,2.819150468624798e-11,,3.637090628672013e-12,2.651878716619649e-12,,7.753052503052503,10.630766976471573,,0.1454634666442871,0.04059267044067383,4.672297336982697
heisenberg_1d_pbc,1D Heisenberg PBC,12,4096,96.0,-5.38739091744521,2.469877635746798e-10,2.4697655032213106e-10,,2.765832007867175e-11,2.132399812282415e-11,,8.929962588911547,11.582093981605617,,55.97831463813782,0.44796156883239746,130.68552765546838
j1j2_1d_pbc,1D J1-J2 Heisenberg (J2=0.5) PBC,4,16,4.242640687119285,-1.5,4.463096558993129e-14,4.4547698863084406e-14,,1.199040866595169e-14,5.551115123125783e-15,,3.7222222222222223,8.025,,7.343292236328125e-05,0.0004737377166748047,0.3326623049823855
j1j2_1d_pbc,1D J1-J2 Heisenberg (J2=0.5) PBC,6,64,9.486832980505138,-2.250000000000001,3.8746783559417963e-13,3.850253449400043e-13,,7.416289804496046e-14,4.1300296516055823e-14,,5.224550898203593,9.32258064516129,,0.00044155120849609375,0.0008611679077148438,0.7007198228128461
j1j2_1d_pbc,1D J1-J2 Heisenberg (J2=0.5) PBC,8,256,21.908902300206645,-3.000000000000001,3.5336178427769482e-12,3.5294176016362157e-12,,5.304645611658998e-13,3.4994229736184934e-13,,6.661364587693596,10.085713068251097,,0.02910161018371582,0.002871274948120117,10.622768413186083
j1j2_1d_pbc,1D J1-J2 Heisenberg (J2=0.5) PBC,10,1024,48.98979485566356,-3.750000000000001,3.1532110256193846e-11,3.1518787579898344e-11,,3.9892533720831125e-12,2.882527549985525e-12,,7.904263609039297,10.934427176613323,,0.14568257331848145,0.0413515567779541,4.46632572459799
j1j2_1d_pbc,1D J1-J2 Heisenberg (J2=0.5) PBC,12,4096,107.33126291998991,-4.500000000000004,2.7617108599997664e-10,2.7612934161425073e-10,,3.0457858457566545e-11,2.333683246646956e-11,,9.067317926660348,11.832340229163247,,55.81801462173462,0.5393476486206055,107.58657856906676
heisenberg_2d_3x3_pbc,2D Heisenberg 3x3 PBC,9,512,41.569219381653056,-3.969001749928522,1.3385736963300587e-11,1.3379741758967612e-11,,1.6653345369377348e-12,8.15347789284715e-13,,8.037866666666666,16.409858387799563,,0.05837082862854004,0.00974273681640625,6.623898786217698
heisenberg_2d_4x3_pbc,2D Heisenberg 4x3 PBC,12,4096,135.7645019878171,-7.368217694134071,3.4929303893704855e-10,3.492771627477964e-10,,3.838440676418031e-11,2.935746090670932e-11,,9.099868107457713,11.897390031709895,,57.03439998626709,0.575695276260376,103.47681953549203
